movie_title,release_month,production_budget,worldwide_gross,ROI,genres,director_name
Avatar,Dec,425000000.0,2776345279.0,2351345279.0,Horror,Atsushi Wada
Pirates of the Caribbean: On Stranger Tides,May,410600000.0,1045663875.0,635063875.0,"Action,Adventure,Fantasy",Rob Marshall
Dark Phoenix,Jun,350000000.0,149762350.0,-200237650.0,"Action,Adventure,Sci-Fi",Simon Kinberg
Avengers: Age of Ultron,May,330600000.0,1403013963.0,1072413963.0,"Action,Adventure,Sci-Fi",Joss Whedon
Avengers: Infinity War,Apr,300000000.0,2048134200.0,1748134200.0,"Action,Adventure,Sci-Fi",Anthony Russo
Justice League,Nov,300000000.0,655945209.0,355945209.0,"Action,Adventure,Fantasy",Zack Snyder
Spectre,Nov,300000000.0,879620923.0,579620923.0,"Action,Adventure,Thriller",Sam Mendes
The Dark Knight Rises,Jul,275000000.0,1084439099.0,809439099.0,"Action,Thriller",Christopher Nolan
Solo: A Star Wars Story,May,275000000.0,393151347.0,118151347.0,"Action,Adventure,Fantasy",Ron Howard
The Lone Ranger,Jul,275000000.0,260002115.0,-14997885.0,"Action,Adventure,Western",Gore Verbinski
Tangled,Nov,260000000.0,586477240.0,326477240.0,"Adventure,Animation,Comedy",Byron Howard
Captain America: Civil War,May,250000000.0,1140069413.0,890069413.0,"Action,Adventure,Sci-Fi",Anthony Russo
Batman v Superman: Dawn of Justice,Mar,250000000.0,867500281.0,617500281.0,"Action,Adventure,Fantasy",Zack Snyder
The Hobbit: An Unexpected Journey,Dec,250000000.0,1017003568.0,767003568.0,"Adventure,Family,Fantasy",Peter Jackson
The Hobbit: The Desolation of Smaug,Dec,250000000.0,960366855.0,710366855.0,"Adventure,Fantasy",Peter Jackson
The Hobbit: The Battle of the Five Armies,Dec,250000000.0,945577621.0,695577621.0,"Adventure,Fantasy",Peter Jackson
The Fate of the Furious,Apr,250000000.0,1234846267.0,984846267.0,"Action,Crime,Thriller",F. Gary Gray
Pirates of the Caribbean: Dead Men Tell No Tales,May,230000000.0,788241137.0,558241137.0,"Action,Adventure,Fantasy",Joachim Rønning
The Avengers,May,225000000.0,1517935897.0,1292935897.0,"Action,Adventure,Sci-Fi",Joss Whedon
The Avengers,Aug,60000000.0,48585416.0,-11414584.0,"Action,Adventure,Sci-Fi",Joss Whedon
Man of Steel,Jun,225000000.0,667999518.0,442999518.0,"Action,Adventure,Sci-Fi",Zack Snyder
The Amazing Spider-Man,Jul,220000000.0,757890267.0,537890267.0,"Action,Adventure,Sci-Fi",Marc Webb
Transformers: The Last Knight,Jun,217000000.0,602893340.0,385893340.0,"Action,Adventure,Sci-Fi",Michael Bay
Jurassic World,Jun,215000000.0,1648854864.0,1433854864.0,"Action,Adventure,Sci-Fi",Colin Trevorrow
Men in Black 3,May,215000000.0,654213485.0,439213485.0,"Action,Adventure,Comedy",Barry Sonnenfeld
Transformers: Age of Extinction,Jun,210000000.0,1104039076.0,894039076.0,"Action,Adventure,Sci-Fi",Michael Bay
Robin Hood,May,210000000.0,322459006.0,112459006.0,"Action,Adventure,Drama",Ridley Scott
